"Place","State","Latitude","Longitude","TotalPopulation","MalePopulation","FemalePopulation","MedianAge","AgricultureForestryandFishing","Mining","Manufacturing","ElectricityGasWaterWasteService","Construction","Wholesale","Retail","AccomodationFoodServices","TransportWarehousing","ITMediaTelecommunications","FinancialInsurance","RentalHiringRealEstate","ProfessionalScientificTechnical","AdministrativeSupport","PublicAdministration","EducationTraining","HealthCareSocial","ArtsRecreation","Other","MainEmployingIndustry","URL","bestImage"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/05/08/4000323.htm","http://www.abc.net.au/reslib/201405/r1273241_17173702.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/05/08/4000238.htm","http://www.abc.net.au/reslib/201405/r1273212_17172987.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/05/07/3999815.htm","http://www.abc.net.au/reslib/201405/r1272906_17166378.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/05/07/3999663.htm","http://www.abc.net.au/reslib/201405/r1272814_17164309.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/05/05/3997974.htm","http://www.abc.net.au/reslib/201405/r1271753_17140271.JPG"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/05/07/3999470.htm","http://www.abc.net.au/reslib/201405/r1272470_17157377.JPG"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/05/06/3998798.htm","http://www.abc.net.au/news/image/5433652-4x3-80x60.jpg"
"Launceston","TAS",-41.447,147.1386,67154,33135,34019,37.7,1.7,0.6,9.4,1.3,7.1,3.9,12.4,8.4,4.5,1.5,3.3,1.3,4.3,2.9,6.8,10.2,13,1.6,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/05/06/3998997.htm","http://www.abc.net.au/reslib/201405/r1272365_17154576.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/05/06/3998604.htm","http://www.abc.net.au/reslib/201405/r1272201_17150922.jpg"
"Sydney","NSW",-33.8631,151.2043,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2014/05/04/3997353.htm","http://www.abc.net.au/reslib/201405/r1270426_17107911.JPG"
"Port Lincoln","SA",-34.7282,135.8733,14462,7131,7331,38.3,8.9,1.4,7.4,1.4,9.3,4.1,13.1,6.6,5.1,0.7,2.2,1.3,3.2,3,5.2,8,12.3,0.7,4.2,"Retail Trade","http://www.abc.net.au/local/photos/2014/05/30/4015926.htm","http://www.abc.net.au/reslib/201404/r1263160_16938182.jpg"
"West Coast","SA",NULL,NULL,4890,2602,2288,39,3.1,29.5,4.5,1.5,5.4,1.1,6.7,15.6,4.4,0.7,0.7,0.4,1.7,3.7,5.4,6.2,4.3,0.7,3,"Mining","http://www.abc.net.au/local/photos/2014/04/14/3985158.htm","http://www.abc.net.au/reslib/201404/r1263160_16938182.jpg"
"Port Lincoln","SA",-34.7282,135.8733,14462,7131,7331,38.3,8.9,1.4,7.4,1.4,9.3,4.1,13.1,6.6,5.1,0.7,2.2,1.3,3.2,3,5.2,8,12.3,0.7,4.2,"Retail Trade","http://www.abc.net.au/local/photos/2014/05/05/3998038.htm","http://www.abc.net.au/reslib/201405/r1271825_17141480.jpg"
"Dubbo","NSW",-32.2549,148.6017,40246,19636,20610,36.1,3.3,0.9,6.8,1.5,7.4,4.1,12.5,7.3,4.9,1.1,2.4,1.4,4.3,2.5,7.5,9.3,14.8,1.6,4.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/05/05/3998135.htm","http://www.abc.net.au/reslib/201405/r1271866_17142513.jpg"
"Adelaide","SA",-34.9295,138.5982,20920,10863,10057,30.6,0.6,1.3,4.6,1.1,3.5,2.3,8.7,11.7,2,3,3.4,1.7,12.7,3.1,7.8,10.2,15.1,2.6,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/05/05/3997922.htm","http://www.abc.net.au/reslib/201405/r1271715_17139163.jpg"
"Mount Isa","QLD",-20.7287,139.4897,22079,11792,10287,30.3,1.2,31.4,4.6,1.3,5.7,2.6,8.1,5.1,3.8,0.6,0.8,1.4,2.2,2.9,6,6.9,9.3,0.3,3.6,"Mining","http://www.abc.net.au/local/photos/2014/05/05/3997754.htm","http://www.abc.net.au/reslib/201308/r1154552_14500442.jpg"
"Adelaide","SA",-34.9335411,138.587829,20920,10863,10057,30.6,0.6,1.3,4.6,1.1,3.5,2.3,8.7,11.7,2,3,3.4,1.7,12.7,3.1,7.8,10.2,15.1,2.6,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/05/01/3995917.htm","http://www.abc.net.au/reslib/201405/r1270371_17106428.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/05/02/3996686.htm","http://www.abc.net.au/reslib/201405/r1270867_17118132.jpg"
"Adelaide","SA",-34.9234444,138.6027831,20920,10863,10057,30.6,0.6,1.3,4.6,1.1,3.5,2.3,8.7,11.7,2,3,3.4,1.7,12.7,3.1,7.8,10.2,15.1,2.6,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/05/02/3996453.htm","http://www.abc.net.au/reslib/201405/r1270722_17114911.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2014/05/01/3995804.htm","http://www.abc.net.au/reslib/201405/r1270340_17105786.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/05/01/3995869.htm","http://www.abc.net.au/reslib/201405/r1270356_17106093.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/05/01/3995938.htm","http://www.abc.net.au/reslib/201405/r1270393_17107005.jpg"
"Mount Isa","QLD",-20.7287,139.4897,22079,11792,10287,30.3,1.2,31.4,4.6,1.3,5.7,2.6,8.1,5.1,3.8,0.6,0.8,1.4,2.2,2.9,6,6.9,9.3,0.3,3.6,"Mining","http://www.abc.net.au/local/photos/2014/05/01/3995846.htm","http://www.abc.net.au/reslib/201405/r1270335_17105675.jpg"
"Nannup","WA",-33.9804,115.7628,1304,694,610,49.2,19.9,3.6,14.1,0,8.4,0.7,7.2,8.4,2.6,0.5,0,1.4,2.9,2.6,6.8,7.5,10.2,0.7,1.4,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/03/05/3957479.htm","http://www.abc.net.au/reslib/201403/r1244807_16535923.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/05/01/3995580.htm","http://www.abc.net.au/reslib/201405/r1270185_17102414.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/05/01/3995626.htm","http://www.abc.net.au/reslib/201405/r1270197_17102540.JPG"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/30/3994984.htm","http://www.abc.net.au/reslib/201404/r1269791_17093517.JPG"
"Mount Isa","QLD",-20.7287,139.4897,22079,11792,10287,30.3,1.2,31.4,4.6,1.3,5.7,2.6,8.1,5.1,3.8,0.6,0.8,1.4,2.2,2.9,6,6.9,9.3,0.3,3.6,"Mining","http://www.abc.net.au/local/photos/2014/04/30/3994942.htm","http://www.abc.net.au/reslib/201404/r1269746_17092329.JPG"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/29/3994398.htm","http://www.abc.net.au/reslib/201404/r1269392_17084121.jpg"
"Exmouth","WA",-21.9415,114.1236,2458,1314,1144,38.5,2.6,1.6,7.8,0.8,11.8,1.3,10.7,12.8,8.6,0.6,0.2,2.1,5.9,2.9,12.8,5.6,5,0.6,3.2,"Accommodation & Food Services","http://www.abc.net.au/local/photos/2014/04/29/3994242.htm","http://www.abc.net.au/news/linkableblob/5413622/data/floods-at-exmouth2c-western-australia-data.jpg"
"Orange","NSW",-33.2846,149.0988,39419,19425,19994,35.7,2,6.4,8.6,0.9,7.2,2.8,11.4,6.5,3.9,1,1.9,1.3,4.5,2.8,7,8.7,16.2,0.6,4.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/29/3994399.htm","http://www.abc.net.au/reslib/201404/r1269379_17083679.jpg"
"Hobart","TAS",-42.8847,147.3303,50482,25111,25371,37.9,1.3,0.3,3.7,1.9,4.1,1.8,9.6,9.3,1.8,2.6,2.9,1.6,9.9,2,13.7,12.7,13.8,2.8,3.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/28/3993287.htm","http://www.abc.net.au/reslib/201404/r1268717_17068239.jpg"
"Port Lincoln","SA",-34.7282,135.8733,14462,7131,7331,38.3,8.9,1.4,7.4,1.4,9.3,4.1,13.1,6.6,5.1,0.7,2.2,1.3,3.2,3,5.2,8,12.3,0.7,4.2,"Retail Trade","http://www.abc.net.au/local/photos/2014/04/28/3993630.htm","http://www.abc.net.au/reslib/201404/r1268913_17073792.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/24/3991763.htm","http://www.abc.net.au/reslib/201404/r1267596_17042701.JPG"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/25/3992009.htm","http://www.abc.net.au/reslib/201404/r1267906_17050440.jpg"
"Winton","QLD",-22.3826,143.0414,1380,734,646,43.4,30.7,1.5,1,1.3,7,2,8.7,6.5,5.4,0,0.6,0.4,0.9,1.6,13.6,5.6,7.5,0.9,1.9,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/04/24/3991369.htm","http://www.abc.net.au/reslib/201404/r1267351_17036611.JPG"
"Albany","WA",-35.0239,117.8805,34873,17066,17807,40.8,6.4,1.6,7,1.3,10,2.7,13.4,6.4,4.2,0.8,1.8,1.7,4.1,3,7,9,12.7,1.1,4.1,"Retail Trade","http://www.abc.net.au/local/photos/2014/04/17/3988044.htm","http://www.abc.net.au/reslib/201404/r1265083_16982392.jpg"
"Esperance","WA",-33.8614,121.8811,13879,6888,6991,38,15.8,3.1,4.4,1.2,8.3,3.9,10.4,6.7,9.1,0.6,1.5,1.1,2.9,2.2,4.6,8.2,8.7,0.7,4.4,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/04/23/3990738.htm","http://www.abc.net.au/reslib/201404/r1266941_17027831.jpg"
"Wollongong","NSW",-34.4263,150.8927,202068,101108,100960,38.2,0.3,2.7,9.7,1.1,7.2,2.5,9.8,7.2,4.9,1.4,3.9,1.5,5.7,3.2,7,11.1,13.4,1.4,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/24/3991393.htm","http://www.abc.net.au/reslib/201404/r1267307_17035505.jpg"
"Sydney","NSW",-33.8631,151.2043,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2014/04/22/3989973.htm","http://www.abc.net.au/reslib/201404/r1266439_17015851.jpg"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/22/3989870.htm","http://www.abc.net.au/reslib/201404/r1266361_17013688.JPG"
"Gosford","NSW",-33.4246,151.3441,168323,81772,86551,41.6,0.7,0.4,7.6,1.1,9.1,3.5,11.7,6.9,4,2.4,3.6,1.8,6.6,3.4,6.5,7.9,15,1.6,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/22/3989964.htm","http://www.abc.net.au/reslib/201404/r1266438_17015814.jpg"
"Deniliquin","NSW",-35.5308,144.9603,7303,3574,3729,43.7,6.2,0.3,8.3,3.1,7.5,3,13.1,7.1,4.9,1,2.4,1,4.5,2.3,6.6,7,14.7,0.8,4.1,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/22/3989703.htm","http://www.abc.net.au/reslib/201404/r1266203_17007449.jpg"
"Adelaide","SA",-34.92559,138.6081588,20920,10863,10057,30.6,0.6,1.3,4.6,1.1,3.5,2.3,8.7,11.7,2,3,3.4,1.7,12.7,3.1,7.8,10.2,15.1,2.6,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/22/3989489.htm","http://www.abc.net.au/reslib/201404/r1266119_17005063.jpg"
"Albany","WA",-35.0239,117.8805,34873,17066,17807,40.8,6.4,1.6,7,1.3,10,2.7,13.4,6.4,4.2,0.8,1.8,1.7,4.1,3,7,9,12.7,1.1,4.1,"Retail Trade","http://www.abc.net.au/local/photos/2014/04/17/3987929.htm","http://www.abc.net.au/reslib/201404/r1264811_16974954.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2014/04/14/3985153.htm","http://www.abc.net.au/reslib/201404/r1264804_16974680.jpg"
"Toowoomba","QLD",-27.5622,151.9528,155473,76067,79406,37.2,6.3,1.8,9.3,1.1,7.9,3.7,10.9,5.7,4.7,1,2.8,1.3,4.3,2.2,6.7,9.9,13.6,0.9,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/17/3988010.htm","http://www.abc.net.au/reslib/201404/r1265121_16983444.jpg"
"Bunbury","WA",-33.3267,115.6347,32580,16065,16515,38.6,0.8,3.3,12.4,1.8,14.4,2.4,12.3,6.9,4.1,1.2,1.6,1.6,4.5,2.8,4.8,7.4,10.8,0.8,4.1,"Construction","http://www.abc.net.au/local/photos/2014/04/17/3987789.htm","http://www.abc.net.au/reslib/201404/r1264590_16970128.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/17/3987968.htm","http://www.abc.net.au/reslib/201404/r1265078_16982198.JPG"
"Orange","NSW",-33.2846,149.0988,39419,19425,19994,35.7,2,6.4,8.6,0.9,7.2,2.8,11.4,6.5,3.9,1,1.9,1.3,4.5,2.8,7,8.7,16.2,0.6,4.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/17/3987792.htm","http://www.abc.net.au/reslib/201404/r1264927_16978289.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/16/3987089.htm","http://www.abc.net.au/reslib/201404/r1264475_16973275.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/04/16/3986693.htm","http://www.abc.net.au/reslib/201404/r1264161_16960277.jpg"
"Adelaide","SA",-34.9295,138.5982,20920,10863,10057,30.6,0.6,1.3,4.6,1.1,3.5,2.3,8.7,11.7,2,3,3.4,1.7,12.7,3.1,7.8,10.2,15.1,2.6,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/16/3986532.htm","http://www.abc.net.au/reslib/201404/r1264146_16959893.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/16/3986439.htm","http://www.abc.net.au/reslib/201404/r1264107_16958785.JPG"
"Adelaide","SA",-34.9123378,138.6040541,20920,10863,10057,30.6,0.6,1.3,4.6,1.1,3.5,2.3,8.7,11.7,2,3,3.4,1.7,12.7,3.1,7.8,10.2,15.1,2.6,2.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/15/3985711.htm","http://www.abc.net.au/reslib/201404/r1263599_16947524.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/04/14/3985129.htm","http://www.abc.net.au/reslib/201404/r1263217_16939528.jpg"
"Lithgow","NSW",-33.4827,150.1357,20850,10740,10110,42.1,2.7,12.4,6.7,4.3,5.9,1.9,10,8.3,5.8,0.6,1.7,1,3.1,3.4,8.4,6.3,11,1,3.6,"Mining","http://www.abc.net.au/local/photos/2014/04/09/3981882.htm","http://www.abc.net.au/reslib/201404/r1261002_16889143.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2014/04/14/3984912.htm","http://www.abc.net.au/reslib/201404/r1263041_16934601.jpg"
"Bundaberg","QLD",-24.8683,152.3459,92063,45573,46490,42.8,9.4,2.3,8.6,1.1,8.1,3,12.8,6.4,3.8,0.8,1.7,1.4,3.4,2.8,5,8,14.6,0.7,3.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/14/3984993.htm","http://www.abc.net.au/reslib/201404/r1263085_16935866.JPG"
"Melbourne","VIC",-37.8099,144.9622,100240,50401,49839,28.8,0.3,0.4,4.2,1,3,3.5,7.7,10.7,2.6,3.6,8.1,1.7,18.8,3.5,5,8.4,10,3.2,2.4,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2014/04/11/3983722.htm","http://www.abc.net.au/reslib/201404/r1262101_16913668.jpg"
"Ballarat","VIC",-37.5675,143.8509,95185,46401,48784,36.8,1.5,0.7,10.7,1,8.7,2.5,12.7,7.4,3.5,2,2,1.1,5.6,2.5,6,9.8,15.3,1.8,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/10/3982532.htm","http://www.abc.net.au/reslib/201404/r1261392_16898086.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2014/04/13/3984575.htm","http://www.abc.net.au/reslib/201404/r1262889_16930698.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/11/3983805.htm","http://www.abc.net.au/reslib/201404/r1262282_16918149.JPG"
"Busselton","WA",-33.6537,115.344,31523,15263,16260,39.7,4.7,4.3,7,0.8,14,2.3,12.9,10.5,3.1,0.6,1.7,2.3,4.6,4.1,4.1,7.2,8.9,0.9,3.9,"Construction","http://www.abc.net.au/local/photos/2014/04/10/3982962.htm","http://www.abc.net.au/reslib/201404/r1261707_16905032.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/11/3983393.htm","http://www.abc.net.au/reslib/201404/r1261998_16911515.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2014/04/10/3982404.htm","http://www.abc.net.au/reslib/201404/r1261056_16890904.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/09/3982063.htm","http://www.abc.net.au/reslib/201404/r1261130_16892665.jpg"
"Winton","QLD",-22.3826,143.0414,1380,734,646,43.4,30.7,1.5,1,1.3,7,2,8.7,6.5,5.4,0,0.6,0.4,0.9,1.6,13.6,5.6,7.5,0.9,1.9,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/04/09/3982004.htm","http://www.abc.net.au/reslib/201404/r1261077_16891262.JPG"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/08/3980794.htm","http://www.abc.net.au/reslib/201404/r1260349_16874855.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/04/09/3981503.htm","http://www.abc.net.au/reslib/201404/r1260557_16880275.jpg"
"Brisbane","QLD",-27.4698,153.024,1089879,541993,547886,34.6,0.3,1.5,7.1,1.2,6.7,3.8,9.1,6.5,5,1.7,4.1,1.9,11.1,3.4,7.9,9.1,12.9,1.5,3.4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/08/3981161.htm","http://www.abc.net.au/reslib/201404/r1260578_16880921.JPG"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/04/08/3981062.htm","http://www.abc.net.au/reslib/201404/r1260278_16873439.JPG"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2014/04/08/3981344.htm","http://www.abc.net.au/reslib/201404/r1260726_16883524.jpg"
"Ballarat","VIC",-37.5675,143.8509,95185,46401,48784,36.8,1.5,0.7,10.7,1,8.7,2.5,12.7,7.4,3.5,2,2,1.1,5.6,2.5,6,9.8,15.3,1.8,3.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/08/3980993.htm","http://www.abc.net.au/reslib/201404/r1260377_16875632.jpg"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/04/07/3979853.htm","http://www.abc.net.au/reslib/201404/r1259727_16861782.jpg"
"Sydney","NSW",NULL,NULL,183281,97499,85782,32.6,0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,"Professional Scientific & Technical Services","http://www.abc.net.au/local/photos/2014/04/04/3978297.htm","http://www.abc.net.au/reslib/201404/r1258677_16838324.jpg"
