"Place","State","Latitude","Longitude","TotalPopulation","MalePopulation","FemalePopulation","MedianAge","AgricultureForestryandFishing","Mining","Manufacturing","ElectricityGasWaterWasteService","Construction","Wholesale","Retail","AccomodationFoodServices","TransportWarehousing","ITMediaTelecommunications","FinancialInsurance","RentalHiringRealEstate","ProfessionalScientificTechnical","AdministrativeSupport","PublicAdministration","EducationTraining","HealthCareSocial","ArtsRecreation","Other","MainEmployingIndustry","URL","bestImage"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/23/4153716.htm","http://www.abc.net.au/reslib/201412/r1371884_19357957.jpg"
"Newcastle","NSW",-32.9298,151.7828,155550,77444,78106,37.1,0.3,1.6,9.2,1.6,6.6,2.9,10.4,7.8,4.1,1.2,3.4,1.5,7.4,3,6.9,9.5,16,1.4,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/23/4153765.htm","http://www.abc.net.au/reslib/201412/r1371910_19358636.jpg"
"Orange","NSW",-33.2846,149.0988,39419,19425,19994,35.7,2,6.4,8.6,0.9,7.2,2.8,11.4,6.5,3.9,1,1.9,1.3,4.5,2.8,7,8.7,16.2,0.6,4.5,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/11/4146623.htm","http://www.abc.net.au/reslib/201412/r1367464_19263885.jpg"
"Newcastle","NSW",-32.9298,151.7828,155550,77444,78106,37.1,0.3,1.6,9.2,1.6,6.6,2.9,10.4,7.8,4.1,1.2,3.4,1.5,7.4,3,6.9,9.5,16,1.4,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/22/4153418.htm","http://www.abc.net.au/reslib/201412/r1371676_19353270.jpg"
"Bundaberg","QLD",-24.8683,152.3459,92063,45573,46490,42.8,9.4,2.3,8.6,1.1,8.1,3,12.8,6.4,3.8,0.8,1.7,1.4,3.4,2.8,5,8,14.6,0.7,3.9,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/22/4153368.htm","http://www.abc.net.au/reslib/201412/r1371647_19352727.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/17/4150286.htm","http://www.abc.net.au/reslib/201412/r1369713_19310927.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/12/17/4150730.htm","http://www.abc.net.au/reslib/201412/r1369973_19316980.JPG"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/12/22/4153199.htm","http://www.abc.net.au/reslib/201412/r1371535_19350325.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/12/22/4153059.htm","http://www.abc.net.au/reslib/201405/r1277801_17275933.jpg"
"Bunbury","WA",-33.3267,115.6347,32580,16065,16515,38.6,0.8,3.3,12.4,1.8,14.4,2.4,12.3,6.9,4.1,1.2,1.6,1.6,4.5,2.8,4.8,7.4,10.8,0.8,4.1,"Construction","http://www.abc.net.au/local/photos/2014/12/19/4152540.htm","http://www.abc.net.au/reslib/201412/r1370976_19338670.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/12/19/4151935.htm","http://www.abc.net.au/reslib/201412/r1370691_19331988.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/12/19/4151854.htm","http://www.abc.net.au/reslib/201406/r1292482_17603258.jpg"
